RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,8/31/2020
97777,8350,94571,Zip,CA,CA,Rio Vista,Vallejo-Fairfield,Solano County,392734
97496,8390,93960,Zip,CA,CA,Soledad,Salinas,Monterey County,432311
98213,8400,95453,Zip,CA,CA,Lakeport,Clearlake,Lake County,312135
97262,8406,93433,Zip,CA,CA,Grover Beach,San Luis Obispo-Paso Robles-Arroyo Grande,San Luis Obispo County,557038
97160,8416,93221,Zip,CA,CA,Exeter,Visalia-Porterville,Tulare County,246004
96149,8431,90402,Zip,CA,CA,Santa Monica,Los Angeles-Long Beach-Anaheim,Los Angeles County,4509513
97851,8438,94805,Zip,CA,CA,Richmond,San Francisco-Oakland-Hayward,Contra Costa County,636603
97936,8463,95030,Zip,CA,CA,Los Gatos,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2857128
97147,8466,93203,Zip,CA,CA,Arvin,Bakersfield,Kern County,195249
98364,8489,95673,Zip,CA,CA,Rio Linda,Sacramento--Roseville--Arden-Arcade,Sacramento County,332874
97841,8517,94707,Zip,CA,CA,Berkeley,San Francisco-Oakland-Hayward,Alameda County,1656695
97860,8522,94904,Zip,CA,CA,Kentfield,San Francisco-Oakland-Hayward,Marin County,1951228
98137,8535,95357,Zip,CA,CA,Modesto,Modesto,Stanislaus County,376803
96201,8537,90670,Zip,CA,CA,Santa Fe Springs,Los Angeles-Long Beach-Anaheim,Los Angeles County,547652
96434,8549,91502,Zip,CA,CA,Burbank,Los Angeles-Long Beach-Anaheim,Los Angeles County,799061
98342,8559,95650,Zip,CA,CA,Loomis,Sacramento--Roseville--Arden-Arcade,Placer County,648226
97485,8577,93930,Zip,CA,CA,King City,Salinas,Monterey County,345657
98301,8598,95605,Zip,CA,CA,West Sacramento,Sacramento--Roseville--Arden-Arcade,Yolo County,317688
96775,8624,92274,Zip,CA,CA,Thermal,El Centro,Imperial County,176871
97094,8642,93015,Zip,CA,CA,Fillmore,Oxnard-Thousand Oaks-Ventura,Ventura County,492164
96798,8653,92314,Zip,CA,CA,Big Bear City,Riverside-San Bernardino-Ontario,San Bernardino County,271492
98498,8656,95946,Zip,CA,CA,Penn Valley,Truckee-Grass Valley,Nevada County,414564
97712,8672,94502,Zip,CA,CA,Alameda,San Francisco-Oakland-Hayward,Alameda County,986307
96393,8675,91377,Zip,CA,CA,Oak Park,Oxnard-Thousand Oaks-Ventura,Ventura County,909717
96925,8680,92582,Zip,CA,CA,San Jacinto,Riverside-San Bernardino-Ontario,Riverside County,341249
96183,8698,90623,Zip,CA,CA,La Palma,Los Angeles-Long Beach-Anaheim,Orange County,803289
96371,8699,91345,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,593186
97749,8717,94542,Zip,CA,CA,Hayward,San Francisco-Oakland-Hayward,Alameda County,941672
98619,8727,96097,Zip,CA,CA,Yreka,,Siskiyou County,193664
97725,8759,94517,Zip,CA,CA,Clayton,San Francisco-Oakland-Hayward,Contra Costa County,1010518
97539,8792,94065,Zip,CA,CA,Redwood City,San Francisco-Oakland-Hayward,San Mateo County,1912672
95995,8806,90014,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,632602
97361,8810,93614,Zip,CA,CA,Coarsegold,Madera,Madera County,314515
96580,8825,92007,Zip,CA,CA,Encinitas,San Diego-Carlsbad,San Diego County,1457718
97759,8896,94552,Zip,CA,CA,Castro Valley,San Francisco-Oakland-Hayward,Alameda County,1100383
97610,8898,94158,Zip,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,1781034
97153,8929,93210,Zip,CA,CA,Coalinga,Fresno,Fresno County,194038
96278,8957,91024,Zip,CA,CA,Sierra Madre,Los Angeles-Long Beach-Anaheim,Los Angeles County,1098254
96549,8975,91914,Zip,CA,CA,Chula Vista,San Diego-Carlsbad,San Diego County,778930
97998,8983,95130,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,1414956
97277,9018,93449,Zip,CA,CA,Pismo Beach,San Luis Obispo-Paso Robles-Arroyo Grande,San Luis Obispo County,935352
98189,9022,95425,Zip,CA,CA,Cloverdale,Santa Rosa,Sonoma County,571908
399680,9054,93730,Zip,CA,CA,Fresno,Fresno,Fresno County,498687
97130,9056,93108,Zip,CA,CA,Montecito,Santa Maria-Santa Barbara,Santa Barbara County,3263912
97297,9056,93505,Zip,CA,CA,California City,Bakersfield,Kern County,173957
96951,9074,92617,Zip,CA,CA,Irvine,Los Angeles-Long Beach-Anaheim,Orange County,1225605
97473,9102,93908,Zip,CA,CA,Salinas,Salinas,Monterey County,836798
97842,9118,94708,Zip,CA,CA,Berkeley,San Francisco-Oakland-Hayward,Alameda County,1570453
97387,9128,93644,Zip,CA,CA,Oakhurst,Madera,Madera County,323757
97968,9167,95073,Zip,CA,CA,Soquel,Santa Cruz-Watsonville,Santa Cruz County,979333
97154,9216,93212,Zip,CA,CA,Corcoran,Hanford-Corcoran,Kings County,174377
98104,9240,95320,Zip,CA,CA,Escalon,Stockton-Lodi,San Joaquin County,448617
96466,9248,91708,Zip,CA,CA,Chino,Riverside-San Bernardino-Ontario,San Bernardino County,546577
97918,9259,95006,Zip,CA,CA,Boulder Creek,Santa Cruz-Watsonville,Santa Cruz County,638136
98116,9292,95334,Zip,CA,CA,Livingston,Merced,Merced County,282320
97291,9312,93465,Zip,CA,CA,Templeton,San Luis Obispo-Paso Robles-Arroyo Grande,San Luis Obispo County,658919
98146,9340,95368,Zip,CA,CA,Salida,Modesto,Stanislaus County,371005
399678,9374,93636,Zip,CA,CA,Madera,Madera,Madera County,382205
96204,9377,90701,Zip,CA,CA,Artesia,Los Angeles-Long Beach-Anaheim,Los Angeles County,624487
96808,9378,92325,Zip,CA,CA,Crestline,Riverside-San Bernardino-Ontario,San Bernardino County,248321
97131,9379,93109,Zip,CA,CA,Santa Barbara,Santa Maria-Santa Barbara,Santa Barbara County,1431243
98089,9381,95304,Zip,CA,CA,Tracy,Stockton-Lodi,San Joaquin County,671197
96757,9399,92252,Zip,CA,CA,Joshua Tree,Riverside-San Bernardino-Ontario,San Bernardino County,219621
96621,9401,92067,Zip,CA,CA,Rancho Santa Fe,San Diego-Carlsbad,San Diego County,2740915
96797,9405,92313,Zip,CA,CA,Grand Terrace,Riverside-San Bernardino-Ontario,San Bernardino County,408525
96234,9413,90755,Zip,CA,CA,Signal Hill,Los Angeles-Long Beach-Anaheim,Los Angeles County,715503
98408,9428,95742,Zip,CA,CA,Rancho Cordova,Sacramento--Roseville--Arden-Arcade,Sacramento County,486688
399682,9434,95811,Zip,CA,CA,Sacramento,Sacramento--Roseville--Arden-Arcade,Sacramento County,588446
96975,9448,92657,Zip,CA,CA,Newport Beach,Los Angeles-Long Beach-Anaheim,Orange County,3622901
96296,9450,91108,Zip,CA,CA,San Marino,Los Angeles-Long Beach-Anaheim,Los Angeles County,2387320
97780,9488,94574,Zip,CA,CA,Saint Helena,Napa,Napa County,1564062
97695,9500,94305,Zip,CA,CA,Stanford,San Jose-Sunnyvale-Santa Clara,Santa Clara County,3302679
98594,9569,96067,Zip,CA,CA,Mount Shasta,,Siskiyou County,334567
97326,9586,93546,Zip,CA,CA,Mammoth Lakes,,Mono County,782239
98500,9587,95948,Zip,CA,CA,Gridley,Chico,Butte County,267929
97391,9616,93648,Zip,CA,CA,Parlier,Fresno,Fresno County,217132
96748,9618,92241,Zip,CA,CA,Desert Hot Springs,Riverside-San Bernardino-Ontario,Riverside County,243443
